,index,layer,chord_class,num_in_layer,count,chord_class_name,enantiomer
101,33,5,"(0, 1, 3, 5, 6)",34,12,"(0, 1, 3, 5, 6)",non-chiral
102,32,5,"(0, 1, 3, 4, 10)",33,12,"(0, 1, 3, 4, 10)","[0, 11, 9, 8, 2]"
103,31,5,"(0, 1, 3, 4, 9)",32,12,"(0, 1, 3, 4, 9)","[0, 11, 9, 8, 3]"
104,30,5,"(0, 1, 3, 4, 8)",31,12,"(0, 1, 3, 4, 8)",non-chiral
105,29,5,"(0, 1, 3, 4, 7)",30,12,"(0, 1, 3, 4, 7)","[0, 11, 9, 8, 5]"
106,28,5,"(0, 1, 3, 4, 6)",29,12,"(0, 1, 3, 4, 6)","[0, 11, 9, 8, 6]"
107,27,5,"(0, 1, 2, 9, 10)",28,12,"(0, 1, 2, 9, 10)","[0, 11, 10, 3, 2]"
108,26,5,"(0, 1, 2, 8, 10)",27,12,"(0, 1, 2, 8, 10)","[0, 11, 10, 4, 2]"
109,25,5,"(0, 1, 2, 8, 9)",26,12,"(0, 1, 2, 8, 9)","[0, 11, 10, 4, 3]"
110,24,5,"(0, 1, 2, 7, 10)",25,12,"(0, 1, 2, 7, 10)","[0, 11, 10, 5, 2]"
111,23,5,"(0, 1, 2, 7, 9)",24,12,"(0, 1, 2, 7, 9)","[0, 11, 10, 5, 3]"
112,22,5,"(0, 1, 2, 7, 8)",23,12,"(0, 1, 2, 7, 8)","[0, 11, 10, 5, 4]"
113,21,5,"(0, 1, 2, 6, 10)",22,12,"(0, 1, 2, 6, 10)","[0, 11, 10, 6, 2]"
114,20,5,"(0, 1, 2, 6, 9)",21,12,"(0, 1, 2, 6, 9)","[0, 11, 10, 6, 3]"
115,19,5,"(0, 1, 2, 6, 8)",20,12,"(0, 1, 2, 6, 8)",non-chiral
116,18,5,"(0, 1, 2, 6, 7)",19,12,"(0, 1, 2, 6, 7)","[0, 11, 10, 6, 5]"
117,17,5,"(0, 1, 2, 5, 10)",18,12,"(0, 1, 2, 5, 10)","[0, 11, 10, 7, 2]"
118,16,5,"(0, 1, 2, 5, 9)",17,12,"(0, 1, 2, 5, 9)",non-chiral
